ID,Name,Statsgains,,,,,,Evolution Requirements,,,,,,,,,,,,,,Paths,,,,,,,,,,
,,HP,MP,Offense,Defense,Speed,Brains,Bonus,HP,MP,Offense,Defense,Speed,Brains,Care,Weight,Disc,Happy,Battles,Techs,Flags,From#1,From#2,From#3,From#4,From#5,To#1,To#2,To#3,To#4,To#5,To#6
27,MetalMamemon,3000,3000,600,600,600,500,,-1,-1,500,400,400,400,15,10,-1,95,-1,30,16,Monochromon,Kabuterimon,Ninjamon,Frigimon,,,,,,,
28,Vademon,5000,5000,500,500,500,500,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,,,,,
29,Poyomon,0,0,0,0,0,10,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,,Tokomon,,,
30,Tokomon,0,0,0,0,0,10,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,Poyomon,,,,,Patamon,Biyomon,,
31,Patamon,500,500,100,50,50,100,Tokomon,1,-1,1,-1,-1,1,0,15,-1,-1,-2,0,0,,,Tokomon,,,Drimogemon,Tyrannomon,Ogremon,Leomon,Angemon,Unimon
32,Kunemon,1000,1000,50,50,50,50,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,Bakemon,Kabuterimon,Kuwagamon,Vegiemon,
33,Unimon,2000,1500,150,150,200,150,,100,-1,-1,-1,100,-1,3,30,-1,-1,10,35,16,,Patamon,Biyomon,,,,,Giromon,Phoenixmon,,
34,Ogremon,2500,1000,250,150,150,100,,100,-1,100,-1,-1,-1,5,30,-1,-1,15,35,0,,Gabumon,Patamon,,,,,Andromon,Giromon,,
35,Shellmon,2000,1500,150,250,100,100,Betamon,100,-1,-1,100,-1,-1,5,40,-1,-1,-1,35,0,,Betamon,Penguinmon,,,,,H-Kabuterimon,MegaSeadramon,,
36,Centarumon,1500,1500,150,150,150,250,,-1,-1,-1,-1,-1,100,3,30,60,-1,-1,28,16,,Agumon,Gabumon,,,,,Andromon,Giromon,,
37,Bakemon,1500,2500,150,100,150,100,,-1,100,-1,-1,-1,-1,3,20,-1,50,-1,28,0,,Elecmon,Kunemon,,,,,SkullGreymon,Giromon,,
38,Drimogemon,1500,1500,250,150,150,150,,-1,-1,100,-1,-1,-1,3,40,-1,50,-1,28,0,,Gabumon,Patamon,,,,,MetalGreymon,,,
39,Sukamon,0,0,0,0,0,5,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,,Etemon,,,
40,Andromon,4000,6000,400,600,400,600,,200,400,200,400,200,400,5,40,95,-1,30,30,16,Meramon,Centarumon,Ogremon,Leomon,Angemon,,,,,,
41,Giromon,3000,3000,600,600,500,600,,-1,-1,400,-1,300,400,15,5,-1,95,100,35,0,Centarumon,Ogremon,Bakemon,Unimon,,,,,,,
42,Etemon,4000,5000,600,400,600,500,,200,300,400,200,400,300,0,15,-1,-1,50,49,16,,,Sukamon,,,,,,,,
43,Yuramon,0,0,0,0,0,10,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,,Tanemon,,,
44,Tanemon,0,0,0,0,0,10,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,Yuramon,,,,,Palmon,Betamon,,
45,Biyomon,500,1000,50,50,100,50,Tokomon,-1,1,-1,1,1,-1,0,15,-1,-1,-2,0,0,,,Tokomon,,,Birdramon,Airdramon,Kokatorimon,Unimon,Kabuterimon,
46,Palmon,500,1000,50,50,50,100,Tanemon,-1,1,-1,-1,1,1,0,15,-1,-1,-2,0,0,,,Tanemon,,,Kuwagamon,Vegiemon,Ninjamon,Whamon,Coelamon,
47,Monochromon,2000,1500,150,250,150,200,,100,-1,-1,100,-1,100,3,40,-1,-1,5,35,17,,Agumon,Gabumon,,,,,MetalGreymon,MetalMamemon,,
48,Leomon,1500,1500,250,150,200,200,,-1,-1,100,-1,100,100,1,20,-1,-1,10,35,16,,Patamon,Elecmon,,,,,Andromon,Mamemon,,
49,Coelamon,1500,1500,150,200,150,150,,-1,-1,-1,100,-1,-1,3,30,-1,-1,5,35,1,,Palmon,Betamon,,,,,MegaSeadramon,,,
50,Kokatorimon,2500,1500,100,150,150,150,Biyomon,100,-1,-1,-1,-1,-1,3,30,-1,-1,-1,28,0,,Elecmon,Biyomon,,,,,Phoenixmon,Piximon,,
51,Kuwagamon,2000,2000,200,150,200,100,Kunemon,100,100,100,-1,100,-1,5,30,-1,-1,-1,28,0,,Kunemon,Palmon,,,,,H-Kabuterimon,Piximon,,
52,Mojyamon,2000,1500,150,150,150,150,,100,-1,-1,-1,-1,-1,5,20,-1,-1,5,28,1,,,Penguinmon,,,,,SkullGreymon,Mamemon,,
53,Nanimon,0,0,0,0,0,10,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,,Digitamamon,,,
54,Megadramon,6000,6000,600,500,600,500,,300,500,500,300,400,400,10,55,-1,-1,30,30,16,Tyrannomon,Devimon,Airdramon,Seadramon,,,,,,,
55,Piximon,3000,3000,500,500,600,600,,-1,-1,300,300,400,400,15,5,-1,95,-1,25,0,Kokatorimon,Kuwagamon,Vegiemon,Ninjamon,,,,,,,
56,Digitamamon,5000,5000,600,600,600,500,,300,300,400,400,400,300,0,10,-1,-1,100,49,16,,,Nanimon,,,,,,,,
57,Penguinmon,500,500,50,100,50,100,Tsunomon,-1,1,-1,1,-1,1,0,15,-1,-1,-2,0,0,,,Tsunomon,,,Whamon,Shellmon,Garurumon,Frigimon,Mojyamon,
58,Ninjamon,1500,2000,200,150,200,150,,-1,100,100,-1,100,-1,1,10,-1,-1,15,35,16,,,Palmon,,,,Piximon,MetalMamemon,Mamemon,,
59,Phoenixmon,6000,6000,400,400,600,600,,400,400,-1,-1,400,600,3,30,100,-1,0,40,17,Birdramon,Angemon,Airdramon,Kokatorimon,Unimon,,,,,,Hiro
60,H-Kabuterimon,5000,5000,500,500,500,500,,700,-1,400,600,400,-1,5,55,-1,-1,0,40,17,,Kabuterimon,Kuwagamon,Shellmon,,,,,,,
61,MegaSeadramon,3000,6000,600,600,300,600,,-1,400,500,400,-1,400,5,30,-1,-1,0,40,17,Seadramon,Whamon,Shellmon,Coelamon,Garurumon,,,,,,
62,WereGarurumon,6000,3000,300,600,600,600,,400,-1,-1,400,400,400,3,30,-1,-1,0,49,17,Leomon,Garurumon,Frigimon,Mojyamon,,,,,,,
63,Panjyamon,2250,2250,375,225,300,300,Hiro,0,0,0,0,10,0,0,0,0,0,0,10,1,Hiro,Hiro,,,,Vegiemon,Piddomon,,Gururumon,,
64,Gigadramon,9000,9000,900,750,900,750,Hiro,0,0,0,0,10,2,1000,500,100,50,50,50,3,,,WaruMonzaemon,,,Kokatorimon,Tokomon,,,,Tokomon
65,MetalEtemon,6000,7500,900,700,900,750,,500,50,100,50,50,4,2000,1500,200,200,200,200,5,Goburimon,Tokomon,,Tokomon,Goburimon,Goburimon,Goburimon,Gekomon,Gekomon,Gekomon,WaruMonzaemon
